Instante de Tempo   ,Fila de pedidos                                   ,Em produção         ,Prontos                                           
0                   ,                                                  ,                    ,                                                  
1                   ,                                                  ,                    ,                                                  
2                   ,                                                  ,53922               ,                                                  
3                   ,                                                  ,53922               ,                                                  
4                   ,                                                  ,53922               ,                                                  
5                   ,26827                                             ,53922               ,                                                  
6                   ,26827                                             ,53922               ,                                                  
7                   ,26827                                             ,53922               ,                                                  
8                   ,26827                                             ,53922               ,                                                  
9                   ,26827                                             ,53922               ,                                                  
10                  ,26827                                             ,53922               ,                                                  
11                  ,26827                                             ,53922               ,                                                  
12                  ,26827 29795                                       ,53922               ,                                                  
13                  ,26827 29795 82728 49812                           ,53922               ,                                                  
14                  ,26827 29795 82728 49812 94493                     ,53922               ,                                                  
15                  ,26827 29795 82728 49812 94493                     ,53922               ,                                                  
16                  ,26827 29795 82728 49812 94493                     ,53922               ,                                                  
17                  ,26827 29795 82728 49812 94493                     ,53922               ,                                                  
18                  ,26827 29795 82728 49812 94493                     ,53922               ,                                                  
19                  ,26827 29795 82728 49812 94493                     ,53922               ,                                                  
20                  ,26827 29795 82728 49812 94493 42129               ,53922               ,                                                  
21                  ,26827 29795 82728 49812 94493 42129               ,53922               ,                                                  
22                  ,26827 29795 82728 49812 94493 42129               ,53922               ,                                                  
23                  ,26827 29795 82728 49812 94493 42129               ,53922               ,                                                  
24                  ,26827 29795 82728 49812 94493 42129               ,53922               ,                                                  
25                  ,26827 29795 82728 49812 94493 42129               ,53922               ,                                                  
26                  ,26827 29795 82728 49812 94493 42129               ,53922               ,                                                  
27                  ,26827 29795 82728 49812 94493 42129               ,53922               ,                                                  
28                  ,26827 29795 82728 49812 94493 42129               ,53922               ,                                                  
29                  ,29795 82728 49812 94493 42129                     ,26827               ,53922                                             
30                  ,29795 82728 49812 94493 42129 64546               ,26827               ,53922                                             
31                  ,29795 82728 49812 94493 42129 64546 54613         ,26827               ,53922                                             
32                  ,29795 82728 49812 94493 42129 64546 54613         ,26827               ,53922                                             
33                  ,29795 82728 49812 94493 42129 64546 54613         ,26827               ,53922                                             
34                  ,29795 82728 49812 94493 42129 64546 54613         ,26827               ,53922                                             
35                  ,29795 82728 49812 94493 42129 64546 54613         ,26827               ,53922                                             
36                  ,29795 82728 49812 94493 42129 64546 54613         ,26827               ,53922                                             
37                  ,29795 82728 49812 94493 42129 64546 54613         ,26827               ,53922                                             
38                  ,29795 82728 49812 94493 42129 64546 54613         ,26827               ,53922                                             
39                  ,29795 82728 49812 94493 42129 64546 54613         ,26827               ,53922                                             
40                  ,29795 82728 49812 94493 42129 64546 54613         ,26827               ,53922                                             
41                  ,29795 82728 49812 94493 42129 64546 54613 41859   ,26827               ,53922                                             
42                  ,29795 82728 49812 94493 42129 64546 54613 41859   ,26827               ,53922                                             
